team_id,team_name,venue_name
sln,Saint Louis Cardinals,Busch Stadium
chn,Chicago Cubs,Wrigley Field
ana,Anaheim Angels,Angel Stadium
atl,Atlanta Braves,SunTrust Park
mia,Miami Marlins,Marlins Park
bal,Baltimore Orioles,Oriole Park at Camden Yards
tba,Tampa Bay Rays,Tropicana Field
bos,Boston Red Sox,Fenway Park
phi,Philadelphia Phillies,Citizens Bank Park
cha,Chicago White Sox,U.S. Cellular Field
kca,Kansa City Royals,Kauffman Stadium
cle,Cleaveland Indians,Progressive Field
hou,Houston Astros,Minute Maid Park
col,Colorado Rockies,Coors Field
mil,Milwakee Brewers,Miller Park
min,Minnesota Twins,Target Field
nyn,New York Mets,Citi Field
was,Washington Nationals,Nationals Park
pit,Pittsburg Pirates,PNC Park
cin,Cincinatti Reds,Great American Ball Park
sdn,San Diego Padres,Petco Park
lan,Los Angeles Dodgers,Dodger Stadium
sfn,San Francisco Giants,AT&T Park
tex,Texas Rangers,Globe Life Park in Arlington
oak,Oakland Athletics,Oakland Coliseum
sea,Seattle Mariners,Safeco Field
det,Detroit Tigers,Comerica Park
ari,Arizona DiamondBacks,Chase Field
tor,Toronto Blue Jays,Rogers Centre
nya,New York Yankees,Yankee Stadium
